project,sha,slug,num proj searched,num modules,starCount
https://github.com/apache/shardingsphere-elasticjob,59570e1e7fa7cbb407db7c61f536e08831127baa,apache.shardingsphere-elasticjob,231,6,7725
https://github.com/OpenFeign/feign,ca761ae2b3029945d8aa6d1973c7f91ca855647f,OpenFeign.feign,233,34,8381
https://github.com/google/closure-compiler,ff040bdbcc397250aa1afa299d432c7756d72932,google.closure-compiler,242,0,6643
https://github.com/TechEmpower/FrameworkBenchmarks,004a56c4d702d52a1bcc0230bc4c0b343cc7a490,TechEmpower.FrameworkBenchmarks,244,0,6626
https://github.com/hs-web/hsweb-framework,df145478164f82467d86173899ad3c8842232899,hs-web.hsweb-framework,245,8,7918
https://github.com/YunaiV/ruoyi-vue-pro,587360a54fbd9992560326d89218e0c9a07a6793,YunaiV.ruoyi-vue-pro,248,11,7342
https://github.com/signalapp/Signal-Server,b711288faa99649d6a6955de1a3b95040a740d40,signalapp.Signal-Server,250,5,7881
https://github.com/debezium/debezium,ad2733eb1a29e8afaf1cdc62a21014df9e6f7829,debezium.debezium,258,24,7653
https://github.com/karatelabs/karate,925eebb3dfbd7f3ac7a39d11ad43720107bf2a2f,karatelabs.karate,267,9,6388
https://github.com/swagger-api/swagger-core,6ece5229bab167713743da2f63747d3cf0e91f37,swagger-api.swagger-core,268,10,7076
https://github.com/trinodb/trino,333b728786171a1b4291b694cac8b4a5d572379b,trinodb.trino,269,91,6371
https://github.com/abel533/Mapper,737b3617f580d053736a84e55eef34b2c39293fb,abel533.Mapper,272,8,6966
https://github.com/apache/tomcat,d27c63055a679fb461f88ed07acd9b6962fac187,apache.tomcat,272,0,6311
https://github.com/zfile-dev/zfile,e9a85a4e8893a648ff378917d8ffd3643323a91f,zfile-dev.zfile,274,0,6367
https://github.com/apache/doris,d624ff0580fc7a0458c5e07e44ef0b16b3bbd870,apache.doris,275,0,6282
https://github.com/wildfirechat/im-server,a4eb64edd5099bb30de5c13d4f05ef4acd4159fe,wildfirechat.im-server,276,4,6853
